Beat,CRIME_TYPE,CRIME_DESCRIPTION,STAT_VALUE,REPORT_DATE,Sector,Precinct,Row_Value_ID
B2,Rape,Rape,0,10/01/2012,B,N,20743
B2,Robbery,Robbery,0,10/01/2012,B,N,20744
B2,Assault,Assault,1,10/01/2012,B,N,20745
B2,Larceny-Theft,Larceny-Theft,22,10/01/2012,B,N,20746
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,10/01/2012,B,N,20747
B2,Burglary,Burglary,16,10/01/2012,B,N,20748
B2,Homicide,Homicide,0,11/01/2012,B,N,21099
B2,Rape,Rape,0,11/01/2012,B,N,21100
B2,Robbery,Robbery,1,11/01/2012,B,N,21101
B2,Assault,Assault,0,11/01/2012,B,N,21102
B2,Larceny-Theft,Larceny-Theft,25,11/01/2012,B,N,21103
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",5,11/01/2012,B,N,21104
B2,Burglary,Burglary,13,11/01/2012,B,N,21105
B2,Homicide,Homicide,0,12/01/2012,B,N,21470
B2,Rape,Rape,0,12/01/2012,B,N,21471
B2,Robbery,Robbery,1,12/01/2012,B,N,21472
B2,Assault,Assault,0,12/01/2012,B,N,21473
B2,Larceny-Theft,Larceny-Theft,40,12/01/2012,B,N,21474
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,12/01/2012,B,N,21475
B2,Burglary,Burglary,6,12/01/2012,B,N,21476
B2,Homicide,Homicide,0,03/01/2013,B,N,22331
B2,Rape,Rape,0,03/01/2013,B,N,22332
B2,Robbery,Robbery,2,03/01/2013,B,N,22333
B2,Assault,Assault,4,03/01/2013,B,N,22334
B2,Larceny-Theft,Larceny-Theft,27,03/01/2013,B,N,22335
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",7,03/01/2013,B,N,22336
B2,Burglary,Burglary,21,03/01/2013,B,N,22337
B2,Homicide,Homicide,0,02/01/2013,B,N,22338
B2,Rape,Rape,0,02/01/2013,B,N,22339
B2,Robbery,Robbery,2,02/01/2013,B,N,22340
B2,Assault,Assault,2,02/01/2013,B,N,22341
B2,Larceny-Theft,Larceny-Theft,24,02/01/2013,B,N,22342
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,02/01/2013,B,N,22343
B2,Burglary,Burglary,21,02/01/2013,B,N,22344
B2,Homicide,Homicide,0,01/01/2013,B,N,22345
B2,Rape,Rape,0,01/01/2013,B,N,22346
B2,Robbery,Robbery,2,01/01/2013,B,N,22347
B2,Assault,Assault,2,01/01/2013,B,N,22348
B2,Larceny-Theft,Larceny-Theft,20,01/01/2013,B,N,22349
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,01/01/2013,B,N,22350
B2,Burglary,Burglary,12,01/01/2013,B,N,22351
B2,Homicide,Homicide,0,04/01/2013,B,N,22926
B2,Rape,Rape,0,04/01/2013,B,N,22927
B2,Robbery,Robbery,1,04/01/2013,B,N,22928
B2,Assault,Assault,3,04/01/2013,B,N,22929
B2,Larceny-Theft,Larceny-Theft,30,04/01/2013,B,N,22930
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,04/01/2013,B,N,22931
B2,Burglary,Burglary,19,04/01/2013,B,N,22932
B2,Homicide,Homicide,0,05/01/2013,B,N,23283
B2,Rape,Rape,0,05/01/2013,B,N,23284
B2,Robbery,Robbery,3,05/01/2013,B,N,23285
B2,Assault,Assault,2,05/01/2013,B,N,23286
B2,Larceny-Theft,Larceny-Theft,39,05/01/2013,B,N,23287
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",10,05/01/2013,B,N,23288
B2,Burglary,Burglary,14,05/01/2013,B,N,23289
B2,Homicide,Homicide,0,07/01/2013,B,N,23948
B2,Rape,Rape,0,07/01/2013,B,N,23949
B2,Robbery,Robbery,3,07/01/2013,B,N,23950
B2,Assault,Assault,4,07/01/2013,B,N,23951
B2,Larceny-Theft,Larceny-Theft,31,07/01/2013,B,N,23952
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,07/01/2013,B,N,23953
B2,Burglary,Burglary,19,07/01/2013,B,N,23954
B2,Homicide,Homicide,0,06/01/2013,B,N,24305
B2,Rape,Rape,0,06/01/2013,B,N,24306
B2,Robbery,Robbery,1,06/01/2013,B,N,24307
B2,Assault,Assault,1,06/01/2013,B,N,24308
B2,Larceny-Theft,Larceny-Theft,27,06/01/2013,B,N,24309
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",10,06/01/2013,B,N,24310
B2,Burglary,Burglary,12,06/01/2013,B,N,24311
B2,Homicide,Homicide,0,08/01/2013,B,N,24382
B2,Rape,Rape,0,08/01/2013,B,N,24383
B2,Robbery,Robbery,1,08/01/2013,B,N,24384
B2,Assault,Assault,2,08/01/2013,B,N,24385
B2,Larceny-Theft,Larceny-Theft,31,08/01/2013,B,N,24386
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",8,08/01/2013,B,N,24387
B2,Burglary,Burglary,8,08/01/2013,B,N,24388
B2,Homicide,Homicide,0,09/01/2013,B,N,24739
B2,Rape,Rape,0,09/01/2013,B,N,24740
B2,Robbery,Robbery,3,09/01/2013,B,N,24741
B2,Assault,Assault,1,09/01/2013,B,N,24742
B2,Larceny-Theft,Larceny-Theft,37,09/01/2013,B,N,24743
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",11,09/01/2013,B,N,24744
B2,Burglary,Burglary,18,09/01/2013,B,N,24745
B2,Homicide,Homicide,0,10/01/2013,B,N,25096
B2,Rape,Rape,0,10/01/2013,B,N,25097
B2,Robbery,Robbery,2,10/01/2013,B,N,25098
B2,Assault,Assault,1,10/01/2013,B,N,25099
B2,Larceny-Theft,Larceny-Theft,41,10/01/2013,B,N,25100
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,10/01/2013,B,N,25101
B2,Burglary,Burglary,11,10/01/2013,B,N,25102
B2,Homicide,Homicide,0,11/01/2013,B,N,25453
B2,Rape,Rape,0,11/01/2013,B,N,25454
B2,Robbery,Robbery,0,11/01/2013,B,N,25455
B2,Assault,Assault,1,11/01/2013,B,N,25456
B2,Larceny-Theft,Larceny-Theft,44,11/01/2013,B,N,25457
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",9,11/01/2013,B,N,25458
B2,Burglary,Burglary,11,11/01/2013,B,N,25459
B2,Homicide,Homicide,0,12/01/2013,B,N,25838
B2,Rape,Rape,0,12/01/2013,B,N,25839
B2,Robbery,Robbery,1,12/01/2013,B,N,25840
B2,Assault,Assault,1,12/01/2013,B,N,25841
B2,Larceny-Theft,Larceny-Theft,37,12/01/2013,B,N,25842
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",6,12/01/2013,B,N,25843
B2,Burglary,Burglary,15,12/01/2013,B,N,25844
B2,Homicide,Homicide,0,04/30/2014,B,N,26867
B2,Rape,Rape,0,04/30/2014,B,N,26868
B2,Robbery,Robbery,1,04/30/2014,B,N,26869
B2,Assault,Assault,2,04/30/2014,B,N,26870
B2,Larceny-Theft,Larceny-Theft,45,04/30/2014,B,N,26871
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",18,04/30/2014,B,N,26872
B2,Burglary,Burglary,12,04/30/2014,B,N,26873
B2,Homicide,Homicide,0,03/30/2014,B,N,26874
B2,Rape,Rape,0,03/30/2014,B,N,26875
B2,Robbery,Robbery,0,03/30/2014,B,N,26876
B2,Assault,Assault,1,03/30/2014,B,N,26877
B2,Larceny-Theft,Larceny-Theft,36,03/30/2014,B,N,26878
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",12,03/30/2014,B,N,26879
B2,Burglary,Burglary,13,03/30/2014,B,N,26880
B2,Homicide,Homicide,0,02/28/2014,B,N,26881
B2,Rape,Rape,0,02/28/2014,B,N,26882
B2,Robbery,Robbery,0,02/28/2014,B,N,26883
B2,Assault,Assault,3,02/28/2014,B,N,26884
B2,Larceny-Theft,Larceny-Theft,24,02/28/2014,B,N,26885
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,02/28/2014,B,N,26886
B2,Burglary,Burglary,12,02/28/2014,B,N,26887
B2,Homicide,Homicide,0,01/30/2014,B,N,26888
B2,Rape,Rape,0,01/30/2014,B,N,26889
B2,Robbery,Robbery,2,01/30/2014,B,N,26890
B2,Assault,Assault,1,01/30/2014,B,N,26891
B2,Larceny-Theft,Larceny-Theft,35,01/30/2014,B,N,26892
B2,Motor Vehicle Theft,"Vehicle Theft is theft of a car, truck, motorcycle or any motor vehicle.",4,01/30/2014,B,N,26893
B2,Burglary,Burglary,7,01/30/2014,B,N,26894
